frame,dx,dy,angle
1, 2.022535, -0.028736, -0.000369
2, 1.067152, 0.486248, -0.000349
3, 1.732884, 0.249906, -0.000150
4, 0.724419, -1.432208, 0.001458
5, -0.279144, -2.510436, 0.002312
6, -0.463822, -3.790393, 0.003271
7, -1.427210, -3.305777, 0.002373
8, -1.416642, -2.499084, 0.001782
9, -1.424534, -1.990880, 0.001294
10, -0.930271, -1.721890, 0.001228
11, -0.612057, -0.466216, 0.000191
12, -1.076147, -0.311106, -0.000074
13, -0.601532, -1.375634, 0.000924
14, 0.699560, -2.328532, 0.001808
15, -0.824837, -2.379214, 0.001112
16, 0.630590, -2.868420, 0.001903
17, 0.357084, -4.502266, 0.003243
18, 0.572299, -3.221391, 0.002228
19, 0.638073, -1.433484, 0.000511
20, 0.556315, 0.907701, -0.001350
21, 0.417132, 1.088839, -0.001643
22, -0.269700, 0.595186, -0.001103
23, -0.802111, 0.661359, -0.001292
24, -0.857000, 1.397625, -0.002316
25, 0.502686, 1.005257, -0.002037
26, 1.300415, -0.417015, -0.000539
27, 1.059113, -1.134952, 0.000030
28, -0.239417, 2.357947, -0.002226
29, 0.929866, 4.284847, -0.005495
30, 1.336492, 5.963003, -0.005413
31, 3.810979, 7.358723, -0.006023
32, 9.794638, 8.696209, -0.004357
33, 12.338812, 11.642709, -0.005042
34, 12.086523, 11.517608, -0.003798
35, 3.960227, 7.135465, -0.003066
36, 4.921538, 10.002238, -0.003086
37, 2.656892, 12.420411, -0.005206
38, 4.705464, 16.438196, -0.006781
39, 0.890956, 8.519146, -0.004893
40, -1.732465, 4.482108, -0.004037
41, -0.845270, 0.048061, -0.001469
42, -1.175275, -4.583893, 0.001027
43, 11.813740, -4.566114, 0.001600
44, 7.480881, -12.580040, 0.009573
45, 6.215721, -11.477092, 0.011127
46, 3.517693, -10.381587, 0.011555
47, -4.664940, -4.489775, 0.007844
48, -8.701907, 3.033765, 0.005036
49, -12.359458, 4.991085, 0.001755
50, -7.787163, -0.790802, -0.001232
51, -10.894977, 2.029702, -0.006337
52, -9.882837, 1.490084, -0.007506
53, -9.046259, -2.435317, -0.008016
54, -6.406894, -3.574647, -0.004692
55, -4.086584, -6.131838, 0.000701
56, 2.666398, -10.877807, 0.006947
57, -0.714127, -16.683311, 0.012308
58, -1.445892, -21.762449, 0.015203
59, -7.467363, -22.529383, 0.011675
60, -6.248274, -13.290162, 0.006846
61, -20.278297, -5.329166, -0.002720
62, -12.244823, 11.035362, -0.011482
63, -16.914492, 9.607420, -0.010408
64, -14.835479, 7.191060, -0.006043
65, -6.223537, 1.976831, -0.002859
66, -4.126640, 0.834197, -0.001337
67, -2.378659, -1.024042, 0.000138
68, -1.706001, -5.483830, 0.005402
69, -11.138927, -3.643254, 0.007768
70, -12.038138, 0.247549, 0.003659
71, -4.591064, 2.437582, 0.000424
72, -4.702888, 1.441711, -0.000508
73, -2.843623, -0.147146, 0.000982
74, -3.518130, -6.265447, 0.005418
75, -4.458466, -5.040284, 0.004042
76, -5.149644, -2.507355, 0.001277
77, -6.483902, -0.956946, -0.000143
78, -8.423277, -1.290316, -0.001415
79, -8.525370, 1.661722, -0.005297
80, -7.691170, 2.282866, -0.006501
81, -6.259879, -0.100457, -0.004371
82, -4.220600, -2.346793, -0.000803
83, -3.272407, -1.848479, 0.000553
84, -3.407557, -2.791617, 0.003021
85, -4.080943, -3.496455, 0.005368
86, -15.118367, 7.246045, 0.004411
87, -5.993732, -0.157674, 0.004232
88, -5.212992, -3.063430, 0.005297
89, -5.354634, -7.408128, 0.007190
90, -6.807179, -9.836951, 0.006872
91, -20.699005, -20.581908, 0.005584
92, -18.701430, -16.387597, -0.001603
93, -8.598852, -13.227332, 0.000574
94, -8.808382, -12.712062, 0.000566
95, -5.027607, -2.833545, -0.002502
96, -0.652897, 2.429495, -0.005451
97, -2.304646, 2.087137, -0.002568
98, -3.383164, 5.069597, -0.003242
99, 1.868506, 13.446136, -0.008903
100, 14.201723, 12.319862, -0.001994
101, -1.487781, 13.119353, -0.004199
102, -3.905494, 13.974218, -0.007360
103, -8.329586, 6.948170, -0.006241
104, -4.421574, -2.603924, 0.001083
105, -0.627253, -15.666427, 0.010788
106, -24.944658, -65.374303, 0.021946
107, -26.793126, -48.636663, 0.006131
108, -18.717670, -24.535666, -0.004181
109, -17.271285, 3.656669, -0.011504
110, -6.365013, 16.381852, -0.013111
111, -6.013280, 19.232133, -0.010407
112, -7.174053, 53.809106, 0.001001
113, 4.213897, 48.755269, 0.007956
114, -3.176291, 3.732782, 0.003999
115, -2.380388, 10.506657, -0.007179
116, -9.663685, 4.480275, -0.009542
117, -8.088824, -1.151146, -0.005104
118, -10.343476, -54.183185, 0.010042
119, -4.622493, -30.227416, 0.003411
120, -1.536722, -7.491380, 0.003503
121, 3.538126, 1.740258, -0.001477
122, 4.989778, 4.498200, 0.001901
123, 21.365806, 28.230841, 0.010711
124, 12.860681, 20.580539, 0.009981
125, 1.287618, 1.729267, 0.006115
126, -7.029512, 1.293671, -0.000840
127, -9.167061, 1.498868, -0.004560
128, -27.105713, 9.050590, -0.021392
129, -7.284712, -22.432127, -0.006011
130, -13.474801, -6.428963, -0.008439
131, -9.067026, 15.054300, -0.011000
132, -7.673164, 14.948765, -0.012799
133, -1.714063, 42.250771, -0.008844
134, 0.819340, 41.015822, -0.009896
135, 32.312423, 68.109104, -0.003590
136, 7.355280, 22.888047, -0.000870
137, -3.791013, 14.048618, 0.000060
138, -10.657086, 2.177015, -0.006501
139, -11.975649, 4.318781, -0.012735
140, -4.748059, -29.032780, -0.009285
141, -5.981465, -16.680910, -0.013665
142, -0.347023, -10.011266, -0.006899
143, 1.069449, -6.030265, 0.003443
144, 10.508063, -15.489272, 0.018656
145, 20.328798, 1.589170, 0.020404
146, 11.024274, -11.174623, 0.016356
147, 1.042809, -14.871046, 0.016880
148, -17.652682, -47.084385, 0.017861
149, -32.081333, -63.779892, 0.007314
150, -24.998613, -46.785802, 0.009294
151, -17.782253, -43.310337, 0.016986
152, -27.101930, -35.512166, 0.015234
153, -7.607511, 2.221779, -0.000430
154, -11.684860, 23.840026, -0.004950
155, -23.945668, 38.990645, 0.000823
156, -1.730853, 47.229938, 0.003618
157, 0.145310, 49.979934, 0.002137
158, -12.458394, 38.814114, -0.004350
