frame,raw_x,raw_y,raw_a,smooth_x,smooth_y,smooth_a
0,1.99998,-0.0670041,-0.000283865,1.16449,-11.7571,0.00848257
1,3.06916,0.402013,-0.000618007,1.04676,-12.3814,0.0088749
2,4.91866,0.694302,-0.000790524,0.940646,-13.0175,0.00926829
3,5.41688,-0.785353,0.000654672,0.847487,-13.6638,0.00966131
4,5.10376,-3.15458,0.00287896,0.767512,-14.3166,0.0100493
5,4.28627,-6.99296,0.00612835,0.705582,-14.9682,0.0104273
6,2.65127,-10.3312,0.00849889,0.665373,-15.6096,0.0107883
7,1.00431,-12.9036,0.0102811,0.653926,-16.2289,0.0111245
8,-0.506165,-14.9172,0.0115721,0.675508,-16.8173,0.0114278
9,-1.46001,-16.6418,0.0128256,0.735677,-17.3641,0.0116902
10,-1.98861,-17.0863,0.01301,0.842355,-17.8569,0.0119029
11,-3.06694,-17.3484,0.0128715,1.00496,-18.2816,0.012057
12,-3.62213,-18.6751,0.0137001,1.23754,-18.6205,0.0121412
13,-2.87701,-20.966,0.0154725,1.54912,-18.859,0.0121483
14,-3.8505,-23.4618,0.0166007,1.94962,-18.9782,0.0120687
15,-3.20254,-26.2731,0.0184217,2.4509,-18.9572,0.0118922
16,-2.95412,-30.8058,0.0216597,3.05959,-18.7752,0.0116088
17,-2.44464,-34.083,0.0239353,3.78428,-18.4098,0.0112093
18,-1.41425,-35.4402,0.0244789,4.63429,-17.841,0.0106859
19,-0.556522,-34.5046,0.0231805,5.61811,-17.0546,0.0100324
20,0.0710519,-33.3741,0.0215191,6.74098,-16.036,0.00924384
21,-0.200939,-32.7731,0.020426,8.00732,-14.7747,0.00831913
22,-1.12412,-32.1766,0.0191616,9.41915,-13.2663,0.00726003
23,-1.93565,-30.7147,0.0167644,10.9762,-11.5102,0.0060729
24,-1.14668,-29.6408,0.0147154,12.6752,-9.51229,0.00476861
25,0.342314,-29.956,0.0141045,14.5084,-7.28466,0.00336111
26,1.43596,-31.0877,0.0141563,16.4658,-4.84775,0.00186938
27,1.79139,-29.2945,0.0124728,18.5325,-2.22831,0.000314612
28,3.46734,-24.8701,0.00712744,20.6863,0.541861,-0.00128188
29,6.4658,-18.0641,0.00143757,22.9043,3.42933,-0.00289729
30,9.81056,-10.7191,-0.00464721,25.1535,6.39548,-0.00450937
31,19.8667,-1.96905,-0.00900565,27.4127,9.40546,-0.00609816
32,32.2718,9.62064,-0.0139864,29.6364,12.4098,-0.00763632
33,41.7614,18.452,-0.0159307,31.7876,15.3594,-0.00909799
34,45.5855,25.432,-0.0188036,33.8301,18.2029,-0.0104591
35,50.476,35.4084,-0.0217914,35.7252,20.8916,-0.0116983
36,53.0968,47.786,-0.0269257,37.434,23.378,-0.0127966
37,58.2762,64.0367,-0.0333156,38.9146,25.615,-0.0137361
38,59.1041,74.5413,-0.0398846,40.1242,27.5623,-0.0145028
39,57.1808,79.0956,-0.0440566,41.0264,29.1865,-0.0150898
40,56.2147,79.2268,-0.0455992,41.5876,30.4588,-0.0154937
41,57.7501,74.9398,-0.0442157,41.7758,31.3559,-0.0157144
42,69.3309,70.8258,-0.0430766,41.564,31.8613,-0.0157548
43,76.8595,58.3257,-0.0334985,40.9284,31.9641,-0.0156204
44,81.5491,46.2665,-0.0221819,39.8502,31.663,-0.0153216
45,87.0661,38.1396,-0.0118764,38.3163,30.9634,-0.0148711
46,81.344,33.5274,-0.00393774,36.3171,29.8776,-0.0142841
47,71.8355,36.464,0.00101253,33.8493,28.4237,-0.0135774
48,62.728,42.6297,0.00267603,30.9148,26.6259,-0.012769
49,54.7703,41.8637,0.00140679,27.521,24.5128,-0.0118768
50,44.0228,43.9764,-0.0050285,23.6802,22.116,-0.0109174
51,34.1686,45.5679,-0.0126418,19.4097,19.4712,-0.00990668
52,25.394,43.2496,-0.020749,14.7308,16.6179,-0.0088608
53,19.0656,39.8161,-0.0254878,9.66788,13.5962,-0.0077936
54,15.213,33.5716,-0.0245472,4.24784,10.4468,-0.00671698
55,11.4841,24.1607,-0.0195495,-1.50515,7.21523,-0.00564287
56,10.8751,7.57941,-0.00740214,-7.55647,3.93985,-0.00458159
57,10.1123,-14.1781,0.00804273,-13.8736,0.657672,-0.00354066
58,1.87758,-36.6709,0.0194938,-20.4228,-2.59916,-0.00252456
59,-5.25823,-49.6338,0.0259307,-27.1717,-5.80154,-0.00153612
60,-25.8063,-55.261,0.0235408,-34.0944,-8.92904,-0.000577522
61,-39.9893,-44.3333,0.011832,-41.1602,-11.9598,0.000347204
62,-56.0791,-35.4177,0.00240002,-48.3388,-14.8767,0.00123753
63,-69.6712,-28.1651,-0.00335799,-55.6038,-17.6707,0.00209509
64,-77.0459,-27.1329,-0.00562388,-62.9284,-20.3318,0.0029198
65,-80.8882,-26.1418,-0.00708192,-70.2865,-22.8573,0.00371416
66,-81.4595,-26.716,-0.00695075,-77.6596,-25.2521,0.00448255
67,-88.1626,-33.0007,-0.00188566,-85.0321,-27.525,0.00522986
68,-102.238,-37.1269,0.0058519,-92.3909,-29.685,0.00595804
69,-111.559,-35.3563,0.00898528,-99.7219,-31.7458,0.00667421
70,-116.019,-32.8315,0.00942795,-107.022,-33.7222,0.00738161
71,-121.107,-31.373,0.00885909,-114.289,-35.631,0.00808259
72,-124.695,-31.5782,0.00978213,-121.521,-37.493,0.00878053
73,-129.335,-37.7408,0.0148936,-128.723,-39.3327,0.00948238
74,-133.831,-42.0074,0.0184139,-135.892,-41.1737,0.0101934
75,-139.619,-44.2315,0.0194529,-143.036,-43.058,0.0109216
76,-146.796,-44.8237,0.0189712,-150.164,-45.0075,0.0116669
77,-155.702,-45.8408,0.0172734,-157.275,-47.0379,0.0124291
78,-164.122,-43.8131,0.0117268,-164.373,-49.1583,0.013206
79,-171.499,-41.2822,0.0051392,-171.461,-51.3768,0.0139942
80,-178.252,-41.282,0.000715789,-178.54,-53.6982,0.0147908
81,-183.346,-43.8047,-6.00758e-05,-185.616,-56.1131,0.0155948
82,-187.378,-45.6514,0.000445122,-192.683,-58.6185,0.0164014
83,-191.337,-48.4193,0.00342577,-199.745,-61.2251,0.0172008
84,-196.245,-51.8903,0.00873065,-206.801,-63.9227,0.017977
85,-212.396,-44.724,0.0131688,-213.853,-66.7018,0.018715
86,-217.827,-44.4909,0.0172398,-220.896,-69.5499,0.0194032
87,-223.765,-47.5315,0.0224868,-227.929,-72.4712,0.0200326
88,-229.077,-54.6887,0.029532,-234.948,-75.4433,0.0205892
89,-235.129,-64.4456,0.0364759,-241.946,-78.4426,0.0210652
90,-256.035,-86.6998,0.0439684,-248.918,-81.4508,0.0214507
91,-274.245,-104.567,0.0436831,-255.857,-84.4496,0.0217416
92,-282.263,-117.235,0.043905,-262.758,-87.4126,0.0219375
93,-290.979,-129.647,0.0443248,-269.621,-90.3168,0.0220322
94,-297.269,-132.009,0.0412729,-276.448,-93.1457,0.0220222
95,-297.564,-129.51,0.0359113,-283.244,-95.8768,0.021905
96,-298.017,-126.117,0.0324791,-290.008,-98.4908,0.0216826
97,-300.616,-120.672,0.0289487,-296.743,-100.966,0.0213548
98,-299.856,-105.991,0.0189033,-303.441,-103.295,0.020931
99,-292.944,-95.0318,0.0165735,-310.096,-105.46,0.020419
100,-298.975,-83.8876,0.0128447,-316.704,-107.441,0.0198294
101,-304.705,-70.6081,0.0059084,-323.259,-109.222,0.019172
102,-312.526,-63.5508,-0.000366489,-329.749,-110.777,0.0184582
103,-317.295,-66.0304,0.000637387,-336.161,-112.092,0.0176972
104,-318.203,-81.862,0.0114594,-342.468,-113.135,0.016899
105,-339.015,-142.886,0.0300664,-348.658,-113.909,0.0160743
106,-364.727,-190.889,0.0359888,-354.715,-114.403,0.0152321
107,-381.901,-217.272,0.0335571,-360.623,-114.611,0.0143754
108,-396.39,-214.731,0.0234642,-366.364,-114.521,0.0135053
109,-402.579,-198.113,0.0102118,-371.916,-114.139,0.0126242
110,-405.478,-179.306,0.000204787,-377.265,-113.452,0.0117272
111,-412.408,-125.255,0.00111957,-382.394,-112.452,0.0108109
112,-406.166,-74.5467,0.00789795,-387.289,-111.128,0.00987042
113,-408.868,-70.2247,0.0116293,-391.938,-109.48,0.00890343
114,-411.094,-59.2333,0.00406092,-396.329,-107.495,0.00790152
115,-420.914,-54.6274,-0.00569763,-400.463,-105.171,0.00685228
116,-426.285,-55.4308,-0.0102558,-404.34,-102.509,0.0057452
117,-436.657,-107.636,-0.00192827,-407.981,-99.514,0.00456685
118,-441.819,-136.402,-4.8472e-05,-411.399,-96.1946,0.00330188
119,-443.31,-143.873,0.00348467,-414.609,-92.5536,0.00193986
120,-439.358,-141.848,0.00190745,-417.627,-88.6024,0.000475476
121,-432.87,-138.055,0.0045504,-420.471,-84.3524,-0.00109775
122,-410.862,-109.755,0.0153491,-423.16,-79.8186,-0.00278448
123,-403.458,-88.5076,0.0240165,-425.722,-75.0253,-0.00458614
124,-400.379,-86.2133,0.0300594,-428.183,-70.0032,-0.00649415
125,-407.293,-84.778,0.0291344,-430.564,-64.7985,-0.00849377
126,-416.966,-83.4614,0.0245075,-432.887,-59.4648,-0.0105656
127,-432.679,-75.2134,0.00760868,-435.179,-54.0681,-0.0126882
128,-439.827,-97.5573,0.00184038,-437.464,-48.6907,-0.0148343
129,-449.251,-104.525,-0.0053559,-439.765,-43.4165,-0.0169678
130,-453.477,-89.2688,-0.0152633,-442.113,-38.3372,-0.0190517
131,-461.698,-74.5592,-0.0278751,-444.525,-33.5479,-0.0210417
132,-461.955,-33.0085,-0.0369617,-447.022,-29.1355,-0.0228907
133,-462.426,5.74985,-0.0453196,-449.625,-25.1827,-0.0245524
134,-436.054,71.4377,-0.0486045,-452.356,-21.7691,-0.0259808
135,-430.506,94.4538,-0.0486017,-455.239,-18.962,-0.0271348
136,-433.335,109.08,-0.0482357,-458.288,-16.7921,-0.0279748
137,-447.228,110.914,-0.0552177,-461.528,-15.2991,-0.0284631
138,-462.727,112.884,-0.0674005,-464.983,-14.5213,-0.0285728
139,-468.607,84.1964,-0.0768538,-468.68,-14.467,-0.0282875
140,-477.882,67.776,-0.0915813,-472.646,-15.1282,-0.0276057
141,-480.798,56.6315,-0.0982545,-476.899,-16.4551,-0.0265377
142,-478.487,52.1751,-0.095384,-481.444,-18.3895,-0.0251042
143,-467.002,36.5299,-0.0763417,-486.293,-20.8365,-0.0233263
144,-442.218,36.7523,-0.05452,-491.441,-23.6838,-0.0212326
145,-433.85,24.5646,-0.0371278,-496.884,-26.8338,-0.018854
146,-432.179,8.70046,-0.0192214,-502.607,-30.1728,-0.01623
147,-453.183,-32.3047,-0.00608631,-508.582,-33.5795,-0.013406
148,-478.074,-91.9301,-0.000361277,-514.79,-36.9411,-0.0104354
149,-503.366,-139.156,0.00917318,-521.203,-40.1739,-0.00736482
150,-520.46,-183.329,0.0268283,-527.787,-43.1989,-0.00424577
151,-540.66,-216.043,0.0412138,-534.493,-45.9531,-0.00112207
