yıl,tez no,yazar,üni,enstitü,abd,bd,doktora/yl,dil,amaç,fpga donanımı,platform,tasarım dili,yöntem,akademik katkı türü
2020,615115,MEHMET BURAK GÖLEN, Fırat Üniversitesi , fbe,Mekatronik Mühendisliği,Mekatronik Mühendisliği,yl,tr,,,,,,
2020,648550,NUR FAJAR RIZQI ANNAFIANTO,Özyeğin Üniversitesi, fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2020,654342,FURKAN USTA,İhsan Doğramacı Bilkent Üniversitesi ,Mühendislik ve fbe,Bilgisayar Mühendisliği,,yl,ing,,,,,,
2020,633371,MUHAMMET FURKAN İLASLAN,İstanbul Teknik Üniversitesi ,Lisansüstü Eğitim Enstitüsü ,Elektrik Mühendisliği,Elektrik Mühendisliği Bilim Dalı,yl,ing,,,,,,
2020,648523,BURAK TÜFEKÇİ,Özyeğin Üniversitesi , fbe,Bilgisayar Bilimleri,,yl,ing,,,,,,
2020,651845,SERKAN SAĞLAM,Marmara Üniversitesi ,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2020,612185,MEHMET İRFAN GEDİK,Sivas Cumhuriyet Üniversitesi,fbe,Optik Mühendisliği,,yl,tr,,,,,,
2020,650264,ERKAN İNCEÖZ,TOBB Ekonomi ve Teknoloji Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2020,661935,YUSUF EREN, Harran Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2020,649833,UĞUR AKÇAY,Gebze Teknik Üniversitesi,fbe,Elektronik Mühendisliği,,yl,tr,,,,,,
2020,630480,CEM DENİZ KUMRAL,Süleyman Demirel Üniversitesi,fbe,Bilgisayar Mühendisliği,,yl,tr,,,,,,
2020,617039,FATİH İLKBAHAR,Düzce Üniversitesi,fbe, Elektrik-Elektronik ve Bilgisayar Mühendisliği,,dr,tr,,,,,,
2020,646806,MUHAMMED FURKAN TAŞDEMİR, Afyon Kocatepe Üniversitesi,fbe, Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2020,623713,MURAT ÖZEV,Ankara Yıldırım Beyazıt Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2020,654020,ABDULSAMAD IBRAHIM HUSSEIN KURD,Harran Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2021,684696,İSMAİL ERBAŞ,Boğaziçi Üniversitesi,Biyo-Medikal Mühendislik Enstitüsü,Biyomedikal Mühendisliği,,yl,ing,,,,,,
2021,691296,TUGAY EMRE YÜCEDAĞ,Yeditepe Üniversitesi,fbe, Bilgisayar Mühendisliği ,,yl,ing,,,,,,
2021,665670,PAKİZE ERGÜL,Özyeğin Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2021,683227,MERT KÜLTE,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği Bilim Dalı,yl,ing,,,,,,
2021,683623,ERFAN GHOLIZADEHAZARI,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği Bilim Dalı,yl,ing,,,,,,
2021,709390,MERT KARA,İhsan Doğramacı Bilkent Üniversitesi,Mühendislik ve fbe,Bilgisayar Mühendisliği,,yl,ing,,,,,,
2021,679071,ZAID KHALAF MOHAMMED SADANE,Atılım Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2021,671397,ABDURRAHMAN KNIFATI,İstanbul Gelişim Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2021,665669,ILKIN ALIYEV,Özyeğin Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2021,681944,MURAT BENLİ,Yıldız Teknik Üniversitesi,fbe,Elektronik ve Haberleşme Mühendisliği,Haberleşme Bilim Dalı,yl,tr,,,,,,
2021,660317,CANER KİREMİTCİ,Karabük Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2021,693404,ŞEBNEM CENGİZLER,Çukurova Üniversitesi,fbe,Biyomedikal Mühendisliği,,yl,tr,,,,,,
2021,677638,MEHMET ŞAMİL AKÇAY,Afyon Kocatepe Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
